year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, win, spr, sum, aut, ann
2000, 101.9, 131.7, 67.7, 123.9, 77.7, 58.3, 59.7, 85.5, 133.8, 199.5, 176.3, 156.8, 429.1, 269.3, 203.5, 509.7, 1372.9
2001, 79.0, 97.0, 85.6, 89.6, 43.3, 58.0, 81.7, 96.9, 88.9, 165.3, 95.0, 69.7, 332.9, 218.5, 236.6, 349.1, 1050.0
2002, 134.3, 175.3, 75.5, 68.0, 101.6, 86.8, 98.5, 73.8, 40.6, 153.8, 163.1, 109.2, 379.3, 245.2, 259.1, 357.5, 1280.5
2003, 113.9, 48.3, 53.7, 50.4, 98.0, 71.2, 78.3, 26.7, 53.8, 63.9, 120.6, 121.9, 271.4, 202.2, 176.1, 238.2, 900.6
2004, 150.1, 74.4, 70.1, 92.8, 51.0, 84.8, 70.2, 159.7, 103.1, 165.4, 75.2, 110.6, 346.4, 213.9, 314.7, 343.7, 1207.3
2005, 126.7, 69.9, 72.7, 90.9, 72.7, 71.7, 59.4, 85.5, 91.9, 141.7, 116.0, 80.6, 307.2, 236.3, 216.7, 349.5, 1079.7
2006, 59.3, 65.0, 110.1, 67.5, 112.6, 42.0, 53.1, 92.0, 102.5, 142.0, 153.1, 172.5, 204.9, 290.2, 187.1, 397.6, 1171.7
2007, 152.3, 110.0, 87.4, 26.4, 114.1, 136.1, 134.6, 85.8, 67.0, 64.5, 100.4, 114.0, 434.8, 227.8, 356.6, 231.8, 1192.5
2008, 189.3, 81.8, 122.6, 76.2, 47.7, 78.7, 108.1, 135.0, 105.8, 154.4, 105.8, 87.5, 385.1, 246.6, 321.8, 365.9, 1292.9
2009, 119.4, 59.8, 78.9, 60.0, 81.7, 61.9, 145.5, 114.5, 63.8, 107.4, 214.8, 100.3, 266.6, 220.6, 321.9, 386.0, 1208.0
2010, 79.6, 74.7, 78.7, 47.5, 38.9, 38.4, 107.0, 97.5, 113.3, 100.5, 122.7, 47.1, 254.6, 165.1, 242.9, 336.5, 946.0
2011, 102.2, 113.8, 49.5, 35.7, 100.7, 84.7, 75.7, 105.4, 107.4, 122.0, 99.0, 166.7, 263.1, 185.9, 265.8, 328.4, 1162.7
2012, 110.2, 59.4, 36.7, 128.2, 65.6, 149.0, 118.5, 111.3, 111.8, 125.6, 135.1, 178.3, 336.2, 230.5, 378.8, 372.5, 1329.7
2013, 109.7, 59.6, 64.4, 62.9, 91.8, 48.5, 65.2, 72.2, 71.0, 162.6, 90.4, 185.6, 347.7, 219.2, 185.8, 324.1, 1084.0
2014, 186.7, 167.6, 79.7, 67.5, 99.3, 54.7, 64.0, 138.0, 22.6, 157.1, 123.3, 131.3, 539.9, 246.6, 256.7, 303.0, 1291.8
2015, 153.6, 80.0, 95.0, 45.5, 109.7, 56.0, 107.6, 104.8, 51.9, 72.0, 171.9, 216.3, 364.9, 250.1, 268.4, 295.9, 1264.3
2016, 178.4, 110.1, 83.8, 77.4, 61.5, 96.0, 78.5, 85.2, 96.3, 47.0, 104.9, 77.2, 504.9, 222.6, 259.7, 248.1, 1096.1
2017, 76.0, 93.4, 97.8, 33.2, 57.2, 110.4, 101.2, 102.3, 117.2, 101.4, 107.6, 120.8, 246.5, 188.1, 313.9, 326.2, 1118.4
2018, 132.4, 68.6, 103.9, 83.7, 47.7, 34.6, 54.2, 83.0, 101.5, 104.2, 121.6, 117.6, 321.8, 235.4, 171.9, 327.2, 1053.1
2019, 64.6, 71.1, 128.9, 48.5, 63.6, 109.0, 89.0, 132.7, 126.1, 139.7, 119.1, 139.7, 253.3, 241.1, 330.7, 384.9, 1232.1
2020, 121.2, 213.7, 78.6, 30.0, 32.8, 107.5, 95.8, 122.2, 77.3, 182.8, 104.8, 166.9, 474.7, 141.4, 325.5, 365.0, 1333.6
2021, 140.0, 106.4, 87.0, 20.6, 120.7, 44.8, 74.6, 66.7, 82.5, 168.0, 81.9, 114.7, 413.3, 228.4, 186.1, 332.3, 1107.9
2022, 63.2, 152.5, 50.5, 49.5, 77.1, 61.8, 48.2, 51.6, 105.0, 147.0, 167.4, 118.2, 330.4, 177.1, 161.6, 419.3, 1091.8
2023, 129.3, 45.6, 134.4, 73.4, 40.2, 54.8, 141.9, 89.9, 121.4, 177.9, 120.0, 189.9, 293.1, 248.0, 286.5, 419.3, 1318.6
2024, 117.5, 139.8, 107.8, 111.4, 82.5, 55.4, 82.4, 103.5, 114.1, 103.5, 84.9, 139.4, 447.1, 301.7, 241.3, 302.4, 1242.1